LOC_SYSTEM_OPTION_MENU_START,======OPTION======
LOC_SYSTEM_OPTION_MENU_LANGUAGE,a - LANGUAGE : ENGLISH
LOC_SYSTEM_OPTION_MENU_ESC,esc - back
LOC_SYSTEM_LOS_MON,You see a monster.
LOC_SYSTEM_LOS_NOMON,No monsters in sight.
LOC_SYSTEM_CONFUSE_WARNING,You feel confused.
LOC_SYSTEM_DIMENSTION,Action not supported while the dimension is fixed.
LOC_SYSTEM_MAP_DANGER,Danger detected within your view.
LOC_SYSTEM_UNABLE_MOVE,You can't move there.
LOC_SYSTEM_AUTOBATTLE_DANGERHP,Your HP is too low for auto-battle.
LOC_SYSTEM_AUTOBATTLE_NOMON,No monsters to attack.
LOC_SYSTEM_MEMORIZE_SPELL_ALREADY,이미 기억하고있는 마법입니다.
LOC_SYSTEM_LUNATIC_PENALTY,You can't do that while consumed by madness!
LOC_SYSTEM_LUNATIC_PENALTY_SWAP_WEAPON,광기에 휩싸인 상태로 무기를 바꿀 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_SWAP_ARMOUR,광기에 휩싸인 상태로 방어구를 바꿀 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_TAKEOFF_ARMOUR,광기에 휩싸인 상태로 방어구를 벗을 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_EQUIP_JEWELRY,광기에 휩싸인 상태로 장신구를 낄 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_TAKEOFF_JEWELRY,광기에 휩싸인 상태로 장신구를 벗을 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_PICKUP,광기에 휩싸인 상태로 무언가를 주울 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_DISCRAD,광기에 휩싸인 상태로 무언가를 버릴 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_EAT,광기에 휩싸인 상태로 먹을 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_DRINK,광기에 휩싸인 상태로 마실 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_READ,광기에 휩싸인 상태로 읽을 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_SPELL,광기에 휩싸인 상태로 마법은 쓸 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_THROW,광기에 휩싸인 상태로 던질 수 없다!
LOC_SYSTEM_GHOST_PENALTY,유령 상태에선 할 수 없다.
LOC_SYSTEM_GHOST_PENALTY_LEARN_SPELL,유령 상태에선 마법을 배울 수 없다.
LOC_SYSTEM_GHOST_PENALTY_SWAP_WEAPON,유령 상태에선 무기를 바꿀 수 없다.
LOC_SYSTEM_GHOST_PENALTY_SWAP_EQUIP,유령 상태에선 장비를 바꿀 수 없다.
LOC_SYSTEM_GHOST_PENALTY_SWAP_ARMOUR,유령 상태에선 방어구를 바꿀 수 없다.
LOC_SYSTEM_GHOST_PENALTY_TAKEOFF_ARMOUR,유령 상태에선 방어구를 벗을 수 없다.
LOC_SYSTEM_GHOST_PENALTY_EQUIP_JEWELRY,유령 상태에선 장신구를 낄 수 없다.
LOC_SYSTEM_GHOST_PENALTY_TAKEOFF_JEWELRY,유령 상태에선 장신구를 벗을 수 없다.
LOC_SYSTEM_GHOST_PENALTY_PICKUP,유령 상태에선 무언가를 주울 수 없다.
LOC_SYSTEM_GHOST_PENALTY_DISCRAD,유령 상태에선 무언가를 버릴 수 없다.
LOC_SYSTEM_GHOST_PENALTY_EAT,유령 상태에선 무언가를 먹을 수 없다.
LOC_SYSTEM_GHOST_PENALTY_DRINK,유령 상태에선 무언가를 마실 수 없다.
LOC_SYSTEM_GHOST_PENALTY_READ,유령 상태에선 무언가를 읽을 수 없다.
LOC_SYSTEM_GHOST_PENALTY_ATTACK,유령 상태에선 적을 공격할 수 없다.
LOC_SYSTEM_GHOST_PENALTY_SPELL,유령 상태에선 마법을 쓸 수 없다.
LOC_SYSTEM_GHOST_PENALTY_THROW,유령 상태에선 무언가를 던질 수 없다.
LOC_SYSTEM_SILENCE_PENALTY,당신은 소리를 낼 수 없다.
LOC_SYSTEM_SHOUT_MENU,무엇을 외치겠습니까?
LOC_SYSTEM_SHOUT_MENU_ALLY,아군에게 명령
LOC_SYSTEM_SHOUT_MENU_ATTACK,공격해라!
LOC_SYSTEM_SHOUT_MENU_STOP,공격을 멈춰!
LOC_SYSTEM_SHOUT_MENU_WAIT,대기해라.
LOC_SYSTEM_SHOUT_MENU_COME,따라와라.
LOC_SYSTEM_SHOUT_MENU_OTHRE,그외의 키
LOC_SYSTEM_SHOUT_MENU_SILENCE,조용히 한다.
LOC_SYSTEM_SHOUT,소리 지르기
LOC_SYSTEM_SHOUT_RARE1,원망스러워라!
LOC_SYSTEM_SHOUT_RARE2,안녕하세요!
LOC_SYSTEM_SHOUT_RARE3,만세!
LOC_SYSTEM_SHOUT_RARE4,야호!
LOC_SYSTEM_SHOUT_RARE5,와!
LOC_SYSTEM_SHOUT_DROWNED,살려줘!
LOC_SYSTEM_SHOUT_ATTACK,공격!
LOC_SYSTEM_SHOUT_STOP,멈춰!
LOC_SYSTEM_SHOUT_WAIT,기다려!
LOC_SYSTEM_SHOUT_COME,따라와!
LOC_SYSTEM_SHOUT_FINISH,당신은 소리를 쳐서 주의를 끌었다.
LOC_SYSTEM_SHOUT_WHO,누구를 공격하게 명령하시겠습니까?
LOC_SYSTEM_SHOUT_CANCLE,아무것도 외치지 않았다.
LOC_SYSTEM_AUTOTRAVEL_BAMBOO,Auto-exploration doesn't seem possible here.
LOC_SYSTEM_AUTOPICKUP_ON,자동 줍기를 활성화했다.
LOC_SYSTEM_AUTOPICKUP_OFF,자동 줍기를 해제했다. ({0} 키로 다시 활성화 가능)
LOC_SYSTEM_AUTOEXPLORE_WHERE,어느 던전으로 이동해볼까? (대문자로 마지막층)
