LOC_SYSTEM_OPTION_MENU_START,======옵션======
LOC_SYSTEM_OPTION_MENU_LANGUAGE,a - 언어 : 한국어
LOC_SYSTEM_OPTION_MENU_ESC,esc - 뒤로가기
LOC_SYSTEM_LOS_MON,시야안에 몬스터가 있다.
LOC_SYSTEM_LOS_NOMON,시야안에 몬스터가 없다.
LOC_SYSTEM_NOTHING_HAPPEND,아무 일도 일어나지않았다.
LOC_SYSTEM_CONFUSE_WARNING,당신은 혼란스럽다.
LOC_SYSTEM_DIMENSTION,차원이 고정된 상태에서는 지원되지않는다.
LOC_SYSTEM_MAP_DANGER,시야안에 위험 요소가 있다.
LOC_SYSTEM_UNABLE_MOVE,그곳으로 이동할 수 없다.
LOC_SYSTEM_AUTOBATTLE_DANGERHP,자동전투하기엔 당신의 체력이 너무 적다.
LOC_SYSTEM_AUTOBATTLE_NOMON,공격할 수 있는 몬스터가 없다.
LOC_SYSTEM_MEMORIZE_SPELL_ALREADY,이미 기억하고있는 마법입니다.
LOC_SYSTEM_LUNATIC_PENALTY,광기에 휩싸인 상태로 할 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_SWAP_WEAPON,광기에 휩싸인 상태로 무기를 바꿀 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_SWAP_ARMOUR,광기에 휩싸인 상태로 방어구를 바꿀 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_TAKEOFF_ARMOUR,광기에 휩싸인 상태로 방어구를 벗을 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_EQUIP_JEWELRY,광기에 휩싸인 상태로 장신구를 낄 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_TAKEOFF_JEWELRY,광기에 휩싸인 상태로 장신구를 벗을 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_PICKUP,광기에 휩싸인 상태로 무언가를 주울 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_DISCRAD,광기에 휩싸인 상태로 무언가를 버릴 수 없다!
LOC_SYSTEM_LUNATIC_PENALTY_EAT,광기에 휩싸인 상태로 먹을 수 없다!
